id,url,price,price_per_m2,currency,rooms,area,floor,floors_total,address,metro,metro_minutes,metro_transport,district,description,seller_type,published,room_type_query
328806896,https://www.cian.ru/sale/flat/328806896/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,35713897,397262,rur,4,89.9,29,31,"Москва, Боровское шоссе (дублёр)",Новопеределкино,4,walk,Ново-Переделкино,"4-комн.кв.  ·  89,9 м²  ·  29/31 этаж",agency,неделю назад,4
325282508,https://www.cian.ru/sale/flat/325282508/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,35000000,354970,rur,4,98.6,17,24,"Россия, Москва, улица Адмирала Лазарева, 63к3",Бунинская аллея,8,walk,Южное Бутово,"4-комн.кв.  ·  98,6 м²  ·  17/24 этаж",specialist,2 недели назад,4
329410533,https://www.cian.ru/sale/flat/329410533/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,40500000,435484,rur,4,93.0,12,14,"Россия, Москва, Шмитовский проезд, 39к6",Шелепиха,5,walk,Пресненский,4-комн.кв.  ·  93 м²  ·  12/14 этаж,specialist,4 часа назад,4
330577006,https://www.cian.ru/sale/flat/330577006/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,42829678,567281,rur,4,75.5,49,64,"Москва, ЖК Левел Звенигородская, к2",Звенигородская,15,walk,Хорошево-Мневники,"4-комн.кв.  ·  75,5 м²  ·  49/64 этаж",agency,20 минут назад,4
323175233,https://www.cian.ru/sale/flat/323175233/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,34490000,419586,rur,4,82.2,19,30,"Россия, Москва, ЖК Майприорити Дубровка",Дубровка,4,walk,Южнопортовый,"4-комн.кв.  ·  82,2 м²  ·  19/30 этаж",agency,неделю назад,4
316996402,https://www.cian.ru/sale/flat/316996402/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,48900000,391200,rur,4,125.0,22,30,"Россия, Москва, бульвар Маршала Рокоссовского, 6к1",Бульвар Рокоссовского,7,walk,Богородское,4-комн.кв.  ·  125 м²  ·  22/30 этаж,specialist,вчера,4
320819969,https://www.cian.ru/sale/flat/320819969/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,34938902,409121,rur,4,85.4,25,25,"Москва, Восточный административный округ, район Богородское, жилой комплекс Сиреневый Парк",Бульвар Рокоссовского,5,transport,Метрогородок,"4-комн.кв.  ·  85,4 м²  ·  25/25 этаж",agency,3 недели назад,4
321139995,https://www.cian.ru/sale/flat/321139995/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,40000000,363636,rur,4,110.0,6,17,"Россия, Москва, Бескудниковский бульвар, 2к1",Верхние Лихоборы,3,walk,Бескудниковский,4-комн.кв.  ·  110 м²  ·  6/17 этаж,specialist,четыре дня назад,4
326627298,https://www.cian.ru/sale/flat/326627298/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,34999000,377144,rur,4,92.8,4,17,"Россия, Москва, улица Островитянова, 11",Коньково,17,walk,Коньково,"4-комн.кв.  ·  92,8 м²  ·  4/17 этаж",,2 недели назад,4
330577004,https://www.cian.ru/sale/flat/330577004/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,41965168,461156,rur,4,91.0,46,64,"Москва, ЖК Левел Звенигородская, к2",Звенигородская,15,walk,Хорошево-Мневники,4-комн.кв.  ·  91 м²  ·  46/64 этаж,agency,20 минут назад,4
329899013,https://www.cian.ru/sale/flat/329899013/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,36900000,315385,rur,4,117.0,5,12,"Россия, Москва, Большая Очаковская улица, 42к1",Озёрная,10,walk,Очаково-Матвеевское,4-комн.кв.  ·  117 м²  ·  5/12 этаж,specialist,вчера,4
313031587,https://www.cian.ru/sale/flat/313031587/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,35072320,345200,rur,4,101.6,21,33,"Москва, проспект Мира, 222",Ростокино,5,walk,Ярославский,"4-комн. апарт.  ·  101,6 м²  ·  21/33 этаж",agency,5 минут назад,4
330558670,https://www.cian.ru/sale/flat/330558670/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,32662124,419283,rur,4,77.9,63,68,"Москва, жилой комплекс Левел Южнопортовая, 3",Кожуховская,9,walk,Печатники,"4-комн.кв.  ·  77,9 м²  ·  63/68 этаж",agency,4 часа назад,4
326451743,https://www.cian.ru/sale/flat/326451743/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,45500000,597113,rur,4,76.2,2,8,"Россия, Москва, Овчинниковская набережная, 22/24с1",Новокузнецкая,5,walk,Замоскворечье,"4-комн.кв.  ·  76,2 м²  ·  2/8 этаж",specialist,вчера,4
321327155,https://www.cian.ru/sale/flat/321327155/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,47000000,305195,rur,4,154.0,17,17,"Россия, Москва, улица Бажова, 24к2",Ростокино,5,walk,Ростокино,4-комн.кв.  ·  154 м²  ·  17/17 этаж,agency,3 недели назад,4
330577009,https://www.cian.ru/sale/flat/330577009/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,44527050,593694,rur,4,75.0,59,64,"Москва, ЖК Левел Звенигородская, к2",Звенигородская,15,walk,Хорошево-Мневники,4-комн.кв.  ·  75 м²  ·  59/64 этаж,agency,20 минут назад,4
328952959,https://www.cian.ru/sale/flat/328952959/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,45000000,472689,rur,4,95.2,2,40,"Россия, Москва, Озёрная улица, 1к1/2",Мичуринский проспект,11,walk,Очаково-Матвеевское,"4-комн.кв.  ·  95,2 м²  ·  2/40 этаж",specialist,неделю назад,4
330337042,https://www.cian.ru/sale/flat/330337042/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,46200000,330000,rur,4,140.0,5,16,"Россия, Москва, Никитинская улица, 31к2",Щёлковская,5,transport,Северное Измайлово,4-комн.кв.  ·  140 м²  ·  5/16 этаж,agency,четыре дня назад,4
326978308,https://www.cian.ru/sale/flat/326978308/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,36138194,425656,rur,4,84.9,4,23,"Москва, Монтажная улица, вл8/24",Щёлковская,5,transport,Гольяново,"4-комн.кв.  ·  84,9 м²  ·  4/23 этаж",agency,3 недели назад,4
329157131,https://www.cian.ru/sale/flat/329157131/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,50000000,578704,rur,4,86.4,19,43,"Россия, Москва, 2-я Хуторская улица, 34",Дмитровская,6,walk,Савеловский,"4-комн.кв.  ·  86,4 м²  ·  19/43 этаж",specialist,17 часов назад,4
