,rooms,area,floor,floors_total,metro,metro_minutes,metro_transport,district,seller_type,price_rub
19983,2.0,41.3,37,41,Аминьевская,7.0,walk,Раменки,specialist,28999999.0
19984,4.0,223.0,15,20,Краснопресненская,2.0,walk,Пресненский,specialist,358000000.0
19985,3.0,73.0,2,22,Строгино,2.0,walk,Строгино,specialist,26290000.0
19986,2.0,82.0,17,51,Шелепиха,5.0,walk,Пресненский,specialist,50350000.0
19987,3.0,69.7,5,16,Потапово,4.0,transport,Сосенское,agency,21913680.0
19988,3.0,64.0,4,9,Южная,15.0,walk,Чертаново Северное,specialist,23500000.0
19989,1.0,49.7,2,12,Воробьёвы горы,11.0,walk,Хамовники,agency,71619000.0
19990,2.0,58.2,22,24,Народное Ополчение,5.0,walk,Хорошево-Мневники,specialist,29990000.0
19991,3.0,97.0,3,6,Минская,7.0,transport,Очаково-Матвеевское,specialist,97000000.0
19992,2.0,67.0,13,24,Хорошёвская,11.0,walk,Хорошевский,specialist,44000000.0
19993,1.0,40.4,6,24,Авиамоторная,16.0,walk,Лефортово,specialist,20500000.0
19994,0.0,106.6,8,10,Коптево,10.0,walk,Головинский,specialist,35500000.0
19995,3.0,129.0,18,22,Краснопресненская,4.0,transport,Пресненский,agency,180950000.0
19996,1.0,27.6,2,18,Зеленоград — Крюково,6.0,transport,17-й,specialist,9600000.0
19997,1.0,34.9,12,16,Царицыно,9.0,walk,Царицыно,specialist,14000000.0
19998,4.0,105.6,33,39,Павелецкая,10.0,walk,Даниловский,agency,122183424.0
19999,2.0,52.0,1,14,Бутырская,20.0,walk,Марьина роща,specialist,21200000.0
20000,1.0,43.2,15,21,Зюзино,5.0,walk,Зюзино,specialist,18500000.0
20001,2.0,57.0,3,12,Зеленоград — Крюково,12.0,walk,19-й,specialist,17900000.0
20002,0.0,47.8,3,35,Ростокино,5.0,walk,Ярославский,agency,15750100.0
20003,5.0,200.0,2,3,Сходненская,5.0,transport,Северное Тушино,specialist,74000000.0
20004,1.0,38.0,6,16,Люблино,10.0,transport,Капотня,specialist,9990000.0
20005,1.0,29.2,12,12,Пражская,7.0,transport,Бирюлево Западное,specialist,10475000.0
20006,3.0,146.3,22,23,Ботанический сад,10.0,walk,Ростокино,agency,176323255.0
20007,1.0,31.1,1,12,ЦСКА,5.0,walk,Хорошевский,specialist,13990000.0
20008,3.0,58.3,9,9,Медведково,4.0,transport,Лосиноостровский,specialist,14900000.0
20009,3.0,56.0,5,9,Октябрьское поле,3.0,walk,Щукино,specialist,28000000.0
20010,3.0,74.0,17,46,Фили,5.0,walk,Дорогомилово,specialist,58000000.0
20011,1.0,52.4,17,82,Москва-Сити,1.0,walk,Пресненский,agency,55240000.0
20012,3.0,137.4,3,9,Тверская,13.0,walk,Пресненский,specialist,240000000.0
20013,4.0,142.6,7,9,Чистые пруды,16.0,walk,Басманный,specialist,151916913.60000002
20014,0.0,14.2,2,3,Андроновка,16.0,walk,Нижегородский,specialist,5150000.0
20015,5.0,115.7,14,17,Некрасовка,7.0,walk,Некрасовка,agency,36000000.0
20016,1.0,37.8,2,22,Кожуховская,11.0,walk,Южнопортовый,specialist,14600000.0
20017,5.0,160.0,15,22,Марьино,11.0,walk,Марьино,agency,45000000.0
20018,2.0,65.9,25,39,Аминьевская,2.0,walk,Раменки,agency,40950000.0
20019,4.0,137.0,23,32,Аминьевская,15.0,walk,Раменки,specialist,79430000.0
20020,4.0,86.2,10,47,Печатники,13.0,walk,Печатники,agency,36282792.0
20021,3.0,130.0,5,33,Нагорная,5.0,transport,Нагатино-Садовники,specialist,42500000.0
20022,3.0,76.6,4,18,Ботанический сад,16.0,walk,Останкинский,agency,22900000.0
20023,2.0,58.0,7,14,Октябрьская,3.0,walk,Якиманка,agency,59000000.0
20024,3.0,208.8,5,11,Павелецкая,16.0,walk,Даниловский,agency,250392960.0
20025,0.0,21.9,2,24,Озёрная,10.0,walk,Очаково-Матвеевское,agency,14677380.0
20026,0.0,18.0,2,5,Партизанская,10.0,walk,Соколиная гора,specialist,6900000.0
20027,2.0,46.1,2,5,Коптево,15.0,walk,Коптево,agency,12369000.0
20028,4.0,86.2,2,30,Дубровка,4.0,walk,Южнопортовый,agency,39227180.0
20029,5.0,209.0,3,6,Маяковская,8.0,walk,Пресненский,agency,340000000.0
20030,6.0,241.0,6,6,Сретенский бульвар,5.0,walk,Красносельский,specialist,120000000.0
20031,1.0,35.43,11,17,Филатов Луг,13.0,transport,Филимонковское,agency,10513817.0
20032,0.0,22.0,23,33,Отрадное,5.0,transport,Алтуфьевский,agency,12490000.0
20033,3.0,148.0,11,32,Аэропорт,15.0,walk,Аэропорт,specialist,61500000.0
20034,2.0,55.1,2,16,Аэропорт,6.0,walk,Аэропорт,specialist,26500000.0
20035,2.0,66.93,2,40,Минская,15.0,walk,Раменки,agency,57494806.0
20036,1.0,37.1,1,32,Водный стадион,5.0,walk,Головинский,agency,18843090.0
20037,2.0,74.5,8,9,Каховская,6.0,walk,Зюзино,specialist,39000000.0
20038,2.0,60.1,17,32,Ховрино,1.0,walk,Ховрино,specialist,36500000.0
20039,4.0,75.3,2,5,Крёкшино,16.0,transport,Новая Москва,specialist,11900000.0
20040,2.0,73.3,17,24,Технопарк,5.0,walk,Нагатинский затон,specialist,49900000.0
20041,3.0,114.0,7,11,Баррикадная,19.0,walk,Пресненский,agency,174990000.0
20042,3.0,55.0,4,17,Беломорская,8.0,walk,Левобережный,owner,26000000.0
20043,4.0,90.1,3,7,Тверская,6.0,walk,Пресненский,agency,75000000.0
20044,0.0,67.4,3,3,Бауманская,4.0,walk,Басманный,specialist,34950000.0
